Winery;Name;Price;Image-Link
Kamnik;CHATEAU KAMNIK, WINEMAKERS’ SELECTION WHITE 2022, 0,75L;620 ден;https://wine.mk/wp-content/uploads/2020/01/26-1-375x400.png
Kamnik;CHATEAU KAMNIK, CUVÉE KAMNIK WHITE 2022, 5L;1.950 ден;https://wine.mk/wp-content/uploads/2017/11/1_box-5l-375x400.png
Kamnik;CHATEAU KAMNIK, VRANEC TERROIR 2018;3.250 ден;https://wine.mk/wp-content/uploads/2017/11/Terroir-Vranec-Grand-Reserva-2018-375x400.png
Kamnik;CHATEAU KAMNIK, SPARK BLANC DE BLANCS, 2018 0.75L;2.000 ден;https://wine.mk/wp-content/uploads/2017/11/18-2-375x400.png
Kamnik;CHATEAU KAMNIK, PINOT GRIGIO 2022, 0.75L;650 ден;https://wine.mk/wp-content/uploads/2017/11/13-3-375x400.png
Kamnik;CHATEAU KAMNIK, TEN BARRELS CABERNET SAUVIGNON RESERVA 2020;2.520 ден;https://wine.mk/wp-content/uploads/2017/11/21-2-375x400.png
Kamnik;CHATEAU KAMNIK, CUVÉE KAMNIK RED 2022, 5L;1.950 ден;https://wine.mk/wp-content/uploads/2017/11/7_Box-2-375x400.png
Kamnik;CHATEAU KAMNIK, SAUVIGNON BLANC 2022, 0.75L;650 ден;https://wine.mk/wp-content/uploads/2017/11/16-3-375x400.png
Kamnik;CHATEAU KAMNIK, CHARDONNAY SINGLE VINEYARD 2022, 0.75L;620 ден;https://wine.mk/wp-content/uploads/2017/11/3-7-375x400.png
Kamnik;CHATEAU KAMNIK, CHARDONNAY BARREL FERMENTED 2022;1.200 ден;https://wine.mk/wp-content/uploads/2017/11/4-6-375x400.png
Kamnik;CHATEAU KAMNIK, MERLOT SINGLE VINEYARD RESERVA 2020;1.790 ден;https://wine.mk/wp-content/uploads/2017/11/10-6-375x400.png
Kamnik;CHATEAU KAMNIK, SPARK ROSÉ 2017 BRUT SPARKLING WINE;2.100 ден;https://wine.mk/wp-content/uploads/2017/11/20-2-375x400.png
Kamnik;CHATEAU KAMNIK, MERLOT SIGNATURE GRAND RESERVA 2017;6.080 ден;https://wine.mk/wp-content/uploads/2017/11/Merlot-signature-2017-375x400.png
Kamnik;CHATEAU KAMNIK, PINOT NOIR 2021, 0.75L;740 ден;https://wine.mk/wp-content/uploads/2017/11/14-3-375x400.png
Сковин;SKOVIN, KRATOSIJA 2019, 0.75L;720 ден;https://wine.mk/wp-content/uploads/2020/07/Kratosija-375x400.png
Сковин;SKOVIN, PINOT NOIR 2019, 0.75L;720 ден;https://wine.mk/wp-content/uploads/2020/07/Pinot-Noir-375x400.png
Сковин;SKOVIN, TRAMINEC 2019, 0.75L;240 ден;https://wine.mk/wp-content/uploads/2020/07/Traminec-375x400.png
Сковин;SKOVIN, TEMJANIKA 2019, 0,75L;330 ден;https://wine.mk/wp-content/uploads/2020/07/Temjanika-375x400.png
Tikvesh;TIKVEŠ WINERY, CABERNET SAUVIGNON LUDA MARA 0.75l;599 ден;https://wine.mk/wp-content/uploads/2017/11/cabernet-375x400.png
Tikvesh;TIKVEŠ WINERY, ALEXANDRIA CUVÉE RED 0.75l;630 ден;https://wine.mk/wp-content/uploads/2017/11/Cuvee-red-375x400.png
Tikvesh;TIKVEŠ WINERY, ALEXANDRIA CUVÉE ROSE 0.75l;630 ден;https://wine.mk/wp-content/uploads/2017/11/cuvee-rose-375x400.png
Tikvesh;TIKVEŠ WINERY, ALEXANDRIA CUVÉE WHITE, 0.75l;630 ден;https://wine.mk/wp-content/uploads/2017/11/cuvee-white-1-375x400.png
Tikvesh;TIKVEŠ WINERY, MERLOT LUDA MARA 0.75l;599 ден;https://wine.mk/wp-content/uploads/2017/11/Merlot-375x400.png
Tikvesh;TIKVEŠ WINERY, VRANEC LUDA MARA 0.75l;599 ден;https://wine.mk/wp-content/uploads/2017/11/Vranec-375x400.png
Tikvesh;TIKVEŠ WINERY, TEMJANIKA LUDA MARA 0.75l;630 ден;https://wine.mk/wp-content/uploads/2017/11/Temjanika-375x400.png
Tikvesh;TIKVEŠ WINERY, CHARDONNAY LUDA MARA 0,75l;599 ден;https://wine.mk/wp-content/uploads/2017/11/Chardonnay-375x400.png
Vinarija Stobi;STOBI WINERY, VRANEC 2020, 0.75L;460 ден;https://wine.mk/wp-content/uploads/2023/02/1-3-375x400.png
Vinarija Stobi;STOBI WINERY, AMINTA 2015, 0.75L;930 ден;https://wine.mk/wp-content/uploads/2020/04/Aminta-375x400.png
