Key,Count
source:traffic_sign:mapillary,11
name:old,1
name:ce,6
official_name:ro,1
service:vehicle:wheels,1
bath:open_air,1
name:cs,6
gauge,4
name:UN:hr,1
name:ar,21
surface,46
name:az,2
name:ba,1
name:be,4
name:UN:he,1
name:bi,1
railway:signal:main:function,9
name:bg,76
bicycle_parking,22
name_full_nd:sr,1
kerb,53
name:bm,1
name:bn,1
name:br,2
dog,4
changing_table,7
name:bo,2
name:dv,1
signpost,1
addr:state,1
name:dz,1
building:levels,33
public_transport,382
grades,2
name:ee,1
government,15
name:el,88
official_name:tr,1
brewery,1
name:en,4148
caravans,1
name:eo,2
old_official_name:bs,1
name:et,15
name:eu,2
leisure,304
name:es,14
official_name:tl,1
name:cv,2
name:mhr,1
official_name:se,1
operator:type,10
side,11
name:cu,2
name:UN:fr,1
name:cy,2
old_official_name:bg,1
name:stq,1
fuel:diesel,13
name:da,2
old_name:bg,4
disused:tourism,1
name:de,100
official_name:sv,1
smoothness,7
communication:gsm,1
payment:bank_transfer,1
official_name:sq,1
official_name:sr,1
traffic_calming,102
official_name:sl,1
old_name:ar,1
old_official_name:ar,1
postal_code,7
payment:debit_cards,33
name:UN:es,1
sanitary_dump_station,1
flag:name,10
official_name:sk,1
historic:civilization,13
source:population,10
official_name:vi,1
old_official_name:en,1
name:UN:el,1
old_official_name:el,1
surveillance:zone,6
name:UN:en,1
subject,10
intermittent,4
crossing:supervision,3
office,229
seats,30
service:bicycle:retail,1
addr:suburb,1
admin_level,1
old_name:bs,1
communication,2
locked,5
service:bicycle:bicycle,1
waste,25
currency:USD,3
fixme,86
phone:1,4
level,98
payment:visa_debit,5
phone:3,1
hoops,2
phone:2,4
piste:type,1
capacity:rooms,1
old_name:de,1
bridge:support,1
official_name:zh-Hant,1
service:vehicle:brakes,1
tourist_bus,3
official_name:zh-Hans,1
official_name:ur,1
COMMUN_NAM,2
old_name:cs,1
old_official_name:cy,1
service:vehicle:car_parts,1
designation,22
old_official_name:cs,1
service:vehicle:air_conditioning,1
name:fur,1
official_name:uk,1
ref:ekt,1
old_name:cy,1
name:bat-smg,1
communication:television,8
disused:natural,1
old_name:el,1
tents,2
diet:meat,2
source:ref:url,3
dance:style,2
name:af,1
old_shop,1
smoking,117
name:kbd,1
castle_type,1
name:al,1
name:am,1
playground,10
name:ak,1
name:an,2
railway:signal:main:form,9
old_name:fa,1
old_official_name:fr,1
Comment,3
addr:country,207
name:mdf,1
name:dsb,1
source_ref:url,16
communication:mobile_phone,9
structure,1
outdoor,1
old_official_name:fa,1
old_name:en,3
name:kab,1
power_supply,1
name:kaa,1
alpine_hut,1
parking_space,6
name:UN:ar,1
contact:youtube,1
public_building,1
name:nan,1
was:highway,1
trees,1
name:nah,1
old_name:fr,2
service:vehicle:new_car_sales,2
email_1,1
wikipedia:sr,2
old_name:fy,1
brand,169
currency:BGN,1
height,22
crossing:barrier,26
name:ckb,1
old_official_name:hr,1
old_name:he,1
ref:signed,1
portable,2
wikipedia:uk,1
traffic_signals:vibration,235
old_official_name:he,1
horse,23
service:vehicle:car_repair,5
male,8
name_2,1
shower,1
source:name:oc,1
name_1,2
access,325
shelter,145
toilets:access,1
denotation,2
name:tok,1
blood:whole,1
crossing:light,3
old_name:hr,1
old_short_name:el,1
source:old_name,1
pump,2
email,216
mindistance,1
addr:place,1
source:name,6
artist:wikidata,2
